Date,CSV no.,Stock,Mean,Stdev,No. tweets
"2016-09-01
",2016_245,CSCO,0.14351170634920632,0.21281052206419029,100
"2016-09-02
",2016_246,CSCO,0.20574995670995672,0.26700625063445799,125
"2016-09-03
",2016_247,CSCO,0.23043397293397297,0.22253313990843038,74
"2016-09-04
",2016_248,CSCO,0.11113822652757079,0.16113461783431962,61
"2016-09-05
",2016_249,CSCO,0.19100620100620103,0.22135619850299831,74
"2016-09-06
",2016_250,CSCO,0.2084195657087223,0.21786150053205489,83
"2016-09-07
",2016_251,CSCO,0.17591273762469414,0.2481990093129694,92
"2016-09-08
",2016_252,CSCO,0.15015179480295757,0.20183002792604099,86
"2016-09-09
",2016_253,CSCO,0.22467582112077525,0.2407997220095649,109
"2016-09-10
",2016_254,CSCO,0.21216570466570467,0.23380639517179949,75
"2016-09-11
",2016_255,CSCO,0.19870548806032676,0.21403762140254065,62
"2016-09-12
",2016_256,CSCO,0.17099157129357001,0.23742547078636939,151
"2016-09-13
",2016_257,CSCO,0.23754194682386176,0.27949104727981211,94
"2016-09-14
",2016_258,CSCO,0.15115501105609019,0.29611222534354081,139
"2016-09-15
",2016_259,CSCO,0.13782077333097739,0.37620212480869436,98
"2016-09-16
",2016_260,CSCO,0.15657655122655123,0.23599318255157953,150
"2016-09-17
",2016_261,CSCO,0.20095401174168298,0.25812467081863871,73
"2016-09-18
",2016_262,CSCO,0.23612667289137876,0.28383533083264273,51
"2016-09-19
",2016_263,CSCO,0.21752070787685315,0.27008398403529055,179
"2016-09-20
",2016_264,CSCO,0.18925608122036694,0.24860789839124905,112
"2016-09-21
",2016_265,CSCO,0.15061953691264035,0.20596884254423625,87
"2016-09-22
",2016_266,CSCO,0.18572601329915164,0.23511148169560375,188
"2016-09-23
",2016_267,CSCO,0.14954842829842829,0.26131245572418388,148
"2016-09-24
",2016_268,CSCO,0.071712454212454216,0.15946893725261391,65
"2016-09-25
",2016_269,CSCO,0.20796200925511271,0.22005171431836909,58
