username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ProVesting;2017-02-21 23:56;0;0;"$ TJX $ HD $ FL $ XRT : Traders discuss how to trade the major retailers: http://www. StockNewsWires.com/2017/02/21/tjx -hd-fl-xrt-traders-discuss-how-to-trade-the-major-retailers/ …";;;;"834189983183364096";https://twitter.com/ProVesting/status/834189983183364096
zerofiltertruth;2017-02-21 23:55;0;0;"Don't know what's worse - $ WMT not taking ?s on call or $ AMZN not answering most & #JeffBezos always absent $ XRT $ RTH $ TGT $ HD @jimcramer";;@jimcramer;#JeffBezos;"834189863310262272";https://twitter.com/zerofiltertruth/status/834189863310262272
MarcoMNYC;2017-02-21 23:54;0;1;"Another solid day for stocks. $ HD kept the overnight rally going and they never looked back.US PMI pulled back from its highs, only slight -";;;;"834189526176296962";https://twitter.com/MarcoMNYC/status/834189526176296962
361Capital;2017-02-21 23:45;0;2;"$ SPX +0.6% All-time high close $ WMT $ HD bte EPS Oil +1%, Iron Ore +4% EuroZone PMI bte US$ ↑ on Hawkish Fed speak Several SMid M&A deals";;;;"834187304629633028";https://twitter.com/361Capital/status/834187304629633028
charliebilello;2017-02-21 23:34;12;8;"Dow stocks hitting all-time highs today... $ AAPL $ BA $ GS $ HD $ JPM $ MMM $ PG $ V";;;;"834184541870886913";https://twitter.com/charliebilello/status/834184541870886913
1MinuteStock;2017-02-21 23:34;0;0;"Wondering about risks of $ HD ? The 21-day volatility is 3.21% https:// unicornbay.com/t/HD.US?utm_me dium=tweet&utm_campaign=volatility&utm_source=twitter …";;;;"834184434622590977";https://twitter.com/1MinuteStock/status/834184434622590977
NewtonGroupSM;2017-02-21 23:27;5;5;"$5000 invested in Home Depot when it went public in 1981 is worth about $30 million today $ HD http:// buff.ly/2lsBLL8 pic.twitter.com/qAkglIslwf";;;;"834182763305635840";https://twitter.com/NewtonGroupSM/status/834182763305635840
IBD_DChung;2017-02-21 23:27;0;2;"Latest Stock Market Today, Expanded: More grafs on emerging big cap names $ HD $ AMD $ ISRG . Sign of rally broadening? http:// ow.ly/XULS309ekAz";;;;"834182671660101632";https://twitter.com/IBD_DChung/status/834182671660101632
ChartMill;2017-02-21 23:25;0;0;"$ HD socially trending now, check out why at http:// stockcharts.chartmill.com/u/H1eZc2BcFl #KnowYourSocial #FlockBN pic.twitter.com/jEQuJpQDMM";;;#KnowYourSocial #FlockBN;"834182332865200128";https://twitter.com/ChartMill/status/834182332865200128
retail_Dbt;2017-02-21 23:22;0;0;"Housing market fuels #HomeDepot growth. Read more: http:// owler.us/acgTeb $ HD";;;#HomeDepot;"834181419991605248";https://twitter.com/retail_Dbt/status/834181419991605248
