username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bfsi_ibb;2016-09-27 23:30;0;0;"First Midwest Bank Trust Division Has $3,065,000 Stake in #TheTravelers Cos. (). Read more: http:// owler.us/abD1QL $ TRV";;;#TheTravelers;"780912506080415745";https://twitter.com/bfsi_ibb/status/780912506080415745
bfsi_mli;2016-09-27 23:30;0;0;"First Midwest Bank Trust Division Has $3,065,000 Stake in #TheTravelers Cos. (). Read more: http:// owler.us/abD1Ri $ TRV";;;#TheTravelers;"780912505828683778";https://twitter.com/bfsi_mli/status/780912505828683778
bfsi_ib;2016-09-27 23:30;0;0;"First Midwest Bank Trust Division Has $3,065,000 Stake in #TheTravelers Cos. (). Read more: http:// owler.us/abD1Re $ TRV";;;#TheTravelers;"780912505824550912";https://twitter.com/bfsi_ib/status/780912505824550912
bfsi_lhi;2016-09-27 23:30;0;0;"First Midwest Bank Trust Division Has $3,065,000 Stake in #TheTravelers Cos. (). Read more: http:// owler.us/abD1Q8 $ TRV";;;#TheTravelers;"780912505740595200";https://twitter.com/bfsi_lhi/status/780912505740595200
InsuranceNJ908;2016-09-27 20:43;1;0;"#INSURANCE #CYBERSECURITY @TRAVELERS $ TRV Cranford Elizabeth Raritan Linden Kenilworth Roselle https:// youtu.be/B0kewc7pz9k via @YouTube";;@TRAVELERS @YouTube;#INSURANCE #CYBERSECURITY;"780870420333486080";https://twitter.com/InsuranceNJ908/status/780870420333486080
InsuranceNJ908;2016-09-27 20:39;0;0;"#INSURANCE : Travelers Insurance Twitter Feed @travelers $ TWTR $ TRV http:// insurancenj908.blogspot.com/2016/07/travel ers-twitter-feed.html?spref=tw …";;@travelers;#INSURANCE;"780869424236593152";https://twitter.com/InsuranceNJ908/status/780869424236593152
stockmonitorapp;2016-09-27 13:16;0;0;"Stocks to watch! $ HD $ SLB $ TRV price is sitting right at 60 day low. http:// dlvr.it/MLYzJQ #stocks pic.twitter.com/wMb5092QcP";;;#stocks;"780757953615843328";https://twitter.com/stockmonitorapp/status/780757953615843328
DividendSheet;2016-09-27 08:51;0;1;"20 Solid Dividend Growth Stocks With A Reasonable Pricing - http:// long-term-investments.blogspot.com/2015/04/20-sol id-dividend-growth-stocks-with.html … - $ ORI $ PB $ QCOM $ TRV $ ACE $ AAN $ GD $ GPS $ CBSH $ AIZ $ BBY";;;;"780691293911539712";https://twitter.com/DividendSheet/status/780691293911539712
Top_Dow_Stocks;2016-09-27 07:23;0;0;"#Dow #stocks $ TRV Travelers Companies Daily:-1.19% Weekly:-1% YTD:2.12% Trend:8 / 100 http:// 12Stocks.com/TRV";;;#Dow #stocks;"780669133117464576";https://twitter.com/Top_Dow_Stocks/status/780669133117464576
StockWebTrading;2016-09-27 02:34;0;0;"$ BK $ C $ CAT $ DD $ DHR $ DE $ BAC $ TRV $ HAL Trade long and short from the #NYSE , up to 62% on average. http://www. stocktradedow.com/Results.html $ DIA $ SPY $ DJIA";;;#NYSE;"780596343014326272";https://twitter.com/StockWebTrading/status/780596343014326272
midetimes;2016-09-27 00:55;0;0;"Candriam Luxembourg S.C.A. Sells 34,003 Shares of The Travelers Cos. $ TRV http:// ift.tt/2dnlpUl";;;;"780571469973692417";https://twitter.com/midetimes/status/780571469973692417
intercooleronli;2016-09-27 00:44;0;0;"Candriam Luxembourg S.C.A. Sells 34,003 Shares of The Travelers Cos. $ TRV http:// ift.tt/2duYT7J";;;;"780568769710190593";https://twitter.com/intercooleronli/status/780568769710190593
