username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
stocknewstimes;2017-07-19 22:27;0;0;"Home Depot, Inc. $ The $ HD Shares Bought by Harwood Advisory Group LLC http:// ift.tt/2tIgn7h";;;;"887801043425349632";https://twitter.com/stocknewstimes/status/887801043425349632
SleekMoneycom;2017-07-19 22:25;0;0;"Home Depot, Inc. $ The $ HD Shares Bought by Harwood Advisory Group LLC http:// ift.tt/2tIgn7h";;;;"887800550837936129";https://twitter.com/SleekMoneycom/status/887800550837936129
stocknewstimes;2017-07-19 21:47;0;0;"Clean Yield Group Purchases 35 Shares of Home Depot, Inc. $ The $ HD http:// ift.tt/2tHO09m";;;;"887791028069158917";https://twitter.com/stocknewstimes/status/887791028069158917
SleekMoneycom;2017-07-19 21:35;0;0;"Clean Yield Group Purchases 35 Shares of Home Depot, Inc. $ The $ HD http:// ift.tt/2tHO09m";;;;"887787980060053505";https://twitter.com/SleekMoneycom/status/887787980060053505
WKRBNews;2017-07-19 21:13;0;0;"Analyzing Home Depot, Inc. $ The $ HD & Lumber Liquidators Holdings $ LL http:// ift.tt/2vDCNrL";;;;"887782544414003200";https://twitter.com/WKRBNews/status/887782544414003200
midetimes;2017-07-19 20:58;0;0;"Analyzing Home Depot, Inc. $ The $ HD & Lumber Liquidators Holdings $ LL http:// ift.tt/2ubPZWS";;;;"887778714867687424";https://twitter.com/midetimes/status/887778714867687424
dailypoliticaln;2017-07-19 20:58;0;0;"Analyzing Home Depot, Inc. $ The $ HD & Lumber Liquidators Holdings $ LL http:// ift.tt/2tHXW2v";;;;"887778707108179969";https://twitter.com/dailypoliticaln/status/887778707108179969
WKRBNews;2017-07-19 20:55;0;0;"Analyzing Home Depot, Inc. $ The $ HD & Lumber Liquidators Holdings $ LL http:// ift.tt/2u99w8L";;;;"887777963986518017";https://twitter.com/WKRBNews/status/887777963986518017
SantaCruzTrader;2017-07-19 20:25;0;0;"$ HD Looking like close to $170 potential by sept. Btw parking lots are packed.";;;;"887770406366568448";https://twitter.com/SantaCruzTrader/status/887770406366568448
Option_Coach;2017-07-19 20:10;0;0;"The Game Plan Trade Of The Week! 19JUL17 $ HD https://www. optioncoach.com/the-game-plan- trade-of-week/19jul17-hd/ … pic.twitter.com/hrzvBIlu1m";;;;"887766672370614272";https://twitter.com/Option_Coach/status/887766672370614272
SPNewsAnalysis;2017-07-19 19:38;0;0;"Clean Yield Group Purchases 35 Shares of Home Depot, Inc. $ The $ HD http:// ift.tt/2tI2rtY";;;;"887758611967070209";https://twitter.com/SPNewsAnalysis/status/887758611967070209
storminvestor;2017-07-19 19:31;0;0;"Clean Yield Group Purchases 35 Shares of Home Depot, Inc. $ The $ HD http:// ift.tt/2vk6Xkc";;;;"887756860035563520";https://twitter.com/storminvestor/status/887756860035563520
msri_kant;2017-07-19 19:11;0;0;""These 3 Companies Could be Safe from $ AMZN -Barrons" Agree with $ WMT $ ULTA would also add $ HD not sure bout $ FL http://www. barrons.com/articles/these -three-companies-could-be-safe-from-amazon-1500490076?mod=yahoobarrons&ru=yahoo&yptr=yahoo …";;;;"887751742665801728";https://twitter.com/msri_kant/status/887751742665801728
groman100;2017-07-19 17:26;0;0;"$ cost $ wfm $ amzn $ wmt $ fb $ tgt $ twtr $ hd $ low $ shld $ m $ jcp https:// twitter.com/groman100/stat us/885992456394743808 …";;;;"887725410544304128";https://twitter.com/groman100/status/887725410544304128
SeekingAlpha;2017-07-19 16:55;0;0;"Briggs & Stratton: American Icon Trading At A Discount https:// seekingalpha.com/article/408844 6-briggs-and-stratton-american-icon-trading-discount?source=feed_f … $ CMI $ DE $ GNRC $ HD $ LOW $ MTD $ BGG";;;;"887717438061592576";https://twitter.com/SeekingAlpha/status/887717438061592576
stockspastor;2017-07-19 16:25;0;0;"$ HD $ LOW $ SBUX easy $$$$ since alerted. http:// bit.ly/1PSG79Z https:// twitter.com/stockspastor/s tatus/886978941751353344 …";;;;"887710105663352832";https://twitter.com/stockspastor/status/887710105663352832
stockspastor;2017-07-19 16:07;1;0;"My $ TSLA weekly looking good. 325 weekly at $3.70. Over $6 now. Might tripppppllllllllleeeeeeee! http:// bit.ly/1PSG79Z Took $ HD off.";;;;"887705417538818048";https://twitter.com/stockspastor/status/887705417538818048
VetrRatings;2017-07-19 15:56;0;0;"The majority of users on Vetr are bullish on Home Depot, Inc., indicating a BUY Rating (3.5 stars) for $ HD http:// bit.ly/1KgaXEr";;;;"887702627093540865";https://twitter.com/VetrRatings/status/887702627093540865
