username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
chaffeybreeze;2017-07-24 23:47;0;0;"Analyzing Home Depot, Inc. $ The $ HD and Lowe’s Companies $ LOW http:// ift.tt/2eJ8pZC";;;;"889633146186149890";https://twitter.com/chaffeybreeze/status/889633146186149890
IRAMarketReport;2017-07-24 23:39;0;0;"Analyzing Home Depot, Inc. $ The $ HD and Lowe’s Companies $ LOW http:// ift.tt/2eJ8pZC";;;;"889631138309976064";https://twitter.com/IRAMarketReport/status/889631138309976064
Reggie921;2017-07-24 23:30;0;0;"Home Depot sells off for the 3rd straight day... $ HD";;;;"889628801881317376";https://twitter.com/Reggie921/status/889628801881317376
Quarry_Rock;2017-07-24 23:02;0;3;"$ HD weak again today ... Held $144.25 on above avg volume Its oversold short term & needs to bounce... Soon or Ill take the loss on this one";;;;"889621960061325313";https://twitter.com/Quarry_Rock/status/889621960061325313
DozenStocks;2017-07-24 23:01;0;0;"Dow #Stocks Trend $ MSFT $ CAT $ INTC $ MRK $ DD $ BA $ CSCO $ AAPL $ IBM $ MCD $ JPM $ DIS $ UNH $ V $ HD $ TRV $ MMM $ AXP $ GS @http:// 12Stocks.com/dow";;@http;#Stocks;"889621475883458560";https://twitter.com/DozenStocks/status/889621475883458560
stockhoot;2017-07-24 22:32;0;0;"$ AAOI $ HD $ AMD $ SHOP $ SNAP $ MNKD $ SPY $ MCD - New competitive investment ideas at https://www. stockhoot.com/ExtAnalyst.asp x?id=aa0d7f5a-46b0-4b29-8637-26b253811897&srid=c17cd360-0bee-44b2-965f-51b7219da258&from=StockTwits …";;;;"889614216864440320";https://twitter.com/stockhoot/status/889614216864440320
RobertBoydOK;2017-07-24 22:26;0;0;"No discount at $ HD for employees. My daughter's fiancé works there.";;;;"889612719166554112";https://twitter.com/RobertBoydOK/status/889612719166554112
irroborate;2017-07-24 22:03;0;0;"@jimcramer is the $ hd stock oversold after the $ amzn and $ shld last week";;@jimcramer;;"889606968909889537";https://twitter.com/irroborate/status/889606968909889537
blacktietrader;2017-07-24 21:51;0;0;"$ HD coming in hot pic.twitter.com/gfjbe5CkQX";;;;"889604078967312385";https://twitter.com/blacktietrader/status/889604078967312385
gurufocus;2017-07-24 20:41;0;1;"Nasdaq closes at 6410.81 http://www. gurufocus.com/news/544713 $ HD pic.twitter.com/n8NcxkDNME";;;;"889586306598260736";https://twitter.com/gurufocus/status/889586306598260736
MBAbstract;2017-07-24 20:28;0;0;"Better Buy: The Home Depot, Inc. vs. Target @themotleyfool #stocks $ HD , $ TGT https://www. fool.com/investing/2017 /07/24/better-buy-the-home-depot-inc-vs-target.aspx …";;@themotleyfool;#stocks;"889583105476001792";https://twitter.com/MBAbstract/status/889583105476001792
ericdavis221;2017-07-24 20:19;0;0;"July 24 Monday, $ HD closed $144.58";;;;"889580841034285060";https://twitter.com/ericdavis221/status/889580841034285060
passthepuck;2017-07-24 20:11;0;0;"@GWSSBN598 Odds are pretty good that @Sprint will sell to @Comcast . Either way if U get in now...Boom! $ S $ QQQ $ GOOGL $ MSFT $ GE $ GM $ HD $ HPQ";;@GWSSBN598 @Sprint @Comcast;;"889578863084228608";https://twitter.com/passthepuck/status/889578863084228608
NYSElyDone;2017-07-24 19:58;0;1;"Teachable Technical Moments: Mike's Recap 7/20 $ HD $ BBY $ SRPT | http:// bit.ly/2ueeyRb | #Stocks #DayTrading #Markets #Finance #WallSt #WTfam pic.twitter.com/j9p1liPCOz";;;#Stocks #DayTrading #Markets #Finance #WallSt #WTfam;"889575447041908736";https://twitter.com/NYSElyDone/status/889575447041908736
slammingpicks;2017-07-24 19:58;0;0;"SwingWarrior: Teachable Technical Moments: Mike's Recap 7/20 $ HD $ BBY $ SRPT | http:// bit.ly/2ueeyRb | #Stocks #Da … https:// twitter.com/i/web/status/8 89575417677570048 …";;;#Stocks #Da;"889575424094810113";https://twitter.com/slammingpicks/status/889575424094810113
SwingWarrior;2017-07-24 19:58;0;0;"Teachable Technical Moments: Mike's Recap 7/20 $ HD $ BBY $ SRPT | http:// bit.ly/2ueeyRb | #Stocks #DayTrading #Markets #Finance #WallSt #WTfam pic.twitter.com/tRI0aShc15";;;#Stocks #DayTrading #Markets #Finance #WallSt #WTfam;"889575417677570048";https://twitter.com/SwingWarrior/status/889575417677570048
AmWealthProject;2017-07-24 19:47;0;1;"Initiated a position today in $ HD after the recent pullback at $144.84. Close to 200 day ma.";;;;"889572704331943936";https://twitter.com/AmWealthProject/status/889572704331943936
DayTradeWarrior;2017-07-24 19:39;0;1;"Teachable Technical Moments: Mike's Recap 7/20 $ HD $ BBY $ SRPT | http:// bit.ly/2uqlfS1 | #Stocks #DayTrading #Markets #Finance #WallSt #WTfam pic.twitter.com/sAGdEqWAqa";;;#Stocks #DayTrading #Markets #Finance #WallSt #WTfam;"889570688499150848";https://twitter.com/DayTradeWarrior/status/889570688499150848
billgunderson;2017-07-24 19:39;0;0;"Lousy chart $ HD The $ AMZN threat?";;;;"889570635940323328";https://twitter.com/billgunderson/status/889570635940323328
WarriorTrading1;2017-07-24 19:05;0;0;"Teachable Technical Moments: Mike's Recap 7/20 $ HD $ BBY $ SRPT | http:// bit.ly/2uqijos | #Stocks #DayTrading #Markets #Finance #WallSt #WTfam pic.twitter.com/PZZ4sua6Yf";;;#Stocks #DayTrading #Markets #Finance #WallSt #WTfam;"889562087755849728";https://twitter.com/WarriorTrading1/status/889562087755849728
