username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WKRBNews;2016-11-12 21:42;0;0;"Cantab Capital Partners LLP Has $942,000 Position in The Travelers Cos. $ TRV http:// ift.tt/2eOu7pH";;;;"797555118652669952";https://twitter.com/WKRBNews/status/797555118652669952
WKRBNews;2016-11-12 21:37;0;0;"Cantab Capital Partners LLP Has $942,000 Position in The Travelers Cos. $ TRV http:// zpr.io/PH7AD";;;;"797553983552442368";https://twitter.com/WKRBNews/status/797553983552442368
WKRBNews;2016-11-12 19:37;0;0;"Usca Ria LLC Sells 68 Shares of The Travelers Cos. $ TRV http:// ift.tt/2fmy3li";;;;"797523706369155073";https://twitter.com/WKRBNews/status/797523706369155073
WKRBNews;2016-11-12 19:36;0;0;"Usca Ria LLC Sells 68 Shares of The Travelers Cos. $ TRV http:// zpr.io/PH77e";;;;"797523378777288705";https://twitter.com/WKRBNews/status/797523378777288705
intercooleronli;2016-11-12 17:34;0;0;"The Travelers Cos. $ TRV Shares Bought by Zurich Insurance Group Ltd FI http:// zpr.io/PHqVK";;;;"797492746307174400";https://twitter.com/intercooleronli/status/797492746307174400
dailypoliticaln;2016-11-12 16:39;0;0;"The Travelers Cos. to Post FY2018 Earnings of $10.25 Per Share, FBR & Co Forecasts $ TRV http:// ift.tt/2eSjeGz";;;;"797478977040420865";https://twitter.com/dailypoliticaln/status/797478977040420865
WatchlistN;2016-11-12 16:27;0;0;"The Travelers Cos. to Post FY2018 Earnings of $10.25 Per Share, FBR & Co Forecasts $ TRV http:// zpr.io/PHqLX";;;;"797475796269015041";https://twitter.com/WatchlistN/status/797475796269015041
deafdaytrader;2016-11-12 16:06;0;3;""Special" The stocks meet my system to play in options for swing trade $ EBAY $ AZN $ CAH $ UA $ LB $ AN $ RMD $ TRV $ NTAP";;;;"797470652664004608";https://twitter.com/deafdaytrader/status/797470652664004608
gem_2014;2016-11-12 11:04;0;0;"4 of 5 $ MRK $ MSFT $ NKE $ PFE $ PG $ TRV light colored arrows are confirmation or add signals. See a live... http:// fb.me/4Lqa8yAF5";;;;"797394709815627776";https://twitter.com/gem_2014/status/797394709815627776
GemsBot;2016-11-12 11:04;0;0;"Commented on StockTwits: 4 of 5 $ MRK $ MSFT $ NKE $ PFE $ PG $ TRV light colored a... http:// stocktwits.com/GemsBot/messag e/66901536#66901561 … pic.twitter.com/q6FEbD8S2X";;;#66901561;"797394707542405120";https://twitter.com/GemsBot/status/797394707542405120
DozenStocks;2016-11-12 11:00;1;0;"Weekly Dow #Stocks Trend $ GS $ JPM $ AXP $ UTX $ BA $ IBM $ DIS $ CAT $ MRK $ UNH $ CSCO $ GE $ HD $ CVX $ WMT $ TRV $ MMM $ JNJ @http:// 12Stocks.com/dow";;@http;#Stocks;"797393748183248896";https://twitter.com/DozenStocks/status/797393748183248896
TickerReport;2016-11-12 00:40;0;0;"FY2018 Earnings Estimate for The Travelers Cos. $ TRV Issued By FBR & Co http:// zpr.io/PHfAY";;;;"797237644799385601";https://twitter.com/TickerReport/status/797237644799385601
storminvestor;2016-11-12 00:40;0;0;"FY2018 Earnings Estimate for The Travelers Cos. $ TRV Issued By FBR & Co http:// zpr.io/PHfAp";;;;"797237581373116416";https://twitter.com/storminvestor/status/797237581373116416
TickerReport;2016-11-12 00:38;0;0;"FY2018 Earnings Estimate for The Travelers Cos. $ TRV Issued By FBR & Co http:// ift.tt/2fYpcbq";;;;"797237019881730048";https://twitter.com/TickerReport/status/797237019881730048
DozenStocks;2016-11-12 00:01;1;2;"Dow #Stocks Trend $ DIS $ GS $ IBM $ BA $ AXP $ UTX $ JPM $ CAT $ MRK $ UNH $ CSCO $ GE $ HD $ CVX $ WMT $ TRV $ MMM $ JNJ $ PFE @http:// 12Stocks.com/dow";;@http;#Stocks;"797227671461634048";https://twitter.com/DozenStocks/status/797227671461634048
